,source,target,attributes,relation_type
0,3q7Twobe9ENvh43NYJYCkZ,33GCg72APAegkpE39K6OCT,{'relation': 'SURROUNDS'},SURROUNDS
1,3q7Twobe9ENvh43NYJYCkZ,15ttRC7BL7Ngs5NHJr5Ynb,{'relation': 'SURROUNDS'},SURROUNDS
2,3q7Twobe9ENvh43NYJYCkZ,3jHerqfRDEbB68GwT$MLmP,{'relation': 'SURROUNDS'},SURROUNDS
3,3q7Twobe9ENvh43NYJYCkZ,2G21b5UMHFNB45OoEIXvNO,{'relation': 'SURROUNDS'},SURROUNDS
4,3q7Twobe9ENvh43NYJYCkZ,1LfjqzwfXEHh5CANx8rM4X,{'relation': 'SURROUNDS'},SURROUNDS
5,3q7Twobe9ENvh43NYJYCkZ,04snYQkcbEGfjItRCcaWig,{'relation': 'SURROUNDS'},SURROUNDS
6,3q7Twobe9ENvh43NYJYCkZ,24EAjVia58eBxT8G8zKI9s,{'relation': 'SURROUNDS'},SURROUNDS
7,3q7Twobe9ENvh43NYJYCkZ,0_$8hcBNr8OhV23ievP0wA,{'relation': 'SURROUNDS'},SURROUNDS
8,3q7Twobe9ENvh43NYJYCkZ,00aB8euCbDg81JtJMGNNA_,{'relation': 'SURROUNDS'},SURROUNDS
9,3q7Twobe9ENvh43NYJYCkZ,3B_ML7UFLBuwqdA5kOJ8Ed,{'relation': 'SURROUNDS'},SURROUNDS
10,3q7Twobe9ENvh43NYJYCkZ,15pNyDx8bDVOMdEq_VJEZu,{'relation': 'SURROUNDS'},SURROUNDS
11,3q7Twobe9ENvh43NYJYCkZ,3O4BSWjPDCYeBvy758Zgku,{'relation': 'SURROUNDS'},SURROUNDS
12,3q7Twobe9ENvh43NYJYCkZ,0qYIMIVsD25vvwv_71Oj4a,{'relation': 'SURROUNDS'},SURROUNDS
13,3q7Twobe9ENvh43NYJYCkZ,19gvT7BIz4je6RwCWKdkpV,{'relation': 'SURROUNDS'},SURROUNDS
14,3q7Twobe9ENvh43NYJYCkZ,1hwjNFfG590hKjpC3ULvBZ,{'relation': 'SURROUNDS'},SURROUNDS
15,3q7Twobe9ENvh43NYJYCkZ,3ZH_BlG559BvSGnllHkZ1r,{'relation': 'SURROUNDS'},SURROUNDS
16,3q7Twobe9ENvh43NYJYCkZ,1B5GW8bDfBR88IZtJ4l7rM,{'relation': 'SURROUNDS'},SURROUNDS
17,3q7Twobe9ENvh43NYJYCkZ,1JF_u8IxbARR3hSfVOgX$C,{'relation': 'SURROUNDS'},SURROUNDS
18,3q7Twobe9ENvh43NYJYCkZ,2YPbDz0WD0oxofUUDsKkts,{'relation': 'SURROUNDS'},SURROUNDS
19,3q7Twobe9ENvh43NYJYCkZ,3bX50btATAou_MUYM4z34n,{'relation': 'SURROUNDS'},SURROUNDS
20,3q7Twobe9ENvh43NYJYCkZ,1edf6Vb2P5GOyqGF13DXEn,{'relation': 'SURROUNDS'},SURROUNDS
21,3q7Twobe9ENvh43NYJYCkZ,24NptVKQz2d9RijWMt_Tzg,{'relation': 'SURROUNDS'},SURROUNDS
22,3q7Twobe9ENvh43NYJYCkZ,3ZUM$pUFr0iuRbE09VLT4x,{'relation': 'SURROUNDS'},SURROUNDS
23,3q7Twobe9ENvh43NYJYCkZ,0iAxOR9jT9Ix4CuHLlC6UA,{'relation': 'SURROUNDS'},SURROUNDS
24,3q7Twobe9ENvh43NYJYCkZ,137_gUaLPB6OGv1ftxP$N6,{'relation': 'SURROUNDS'},SURROUNDS
25,3q7Twobe9ENvh43NYJYCkZ,2ZaSsznfrElwB5aAESSDoz,{'relation': 'SURROUNDS'},SURROUNDS
26,3q7Twobe9ENvh43NYJYCkZ,3YXhOHb5f4Eu$2Kob3lYjh,{'relation': 'SURROUNDS'},SURROUNDS
