,GlobalId,Name,Description,ObjectType,IfcType,category
15vDMMAar37xgrny$3QDMH,15vDMMAar37xgrny$3QDMH,LVL1_1B_63,N/A,N/A,IfcSpace,IfcSpace
0_4V1TmqHFng4fJUGleJ8y,0_4V1TmqHFng4fJUGleJ8y,LVL1_1B_74,N/A,N/A,IfcSpace,IfcSpace
2xwSvUz2HC39UNEW6gW5VM,2xwSvUz2HC39UNEW6gW5VM,LVL1_1B_82,N/A,N/A,IfcSpace,IfcSpace
2Nam78vBrA_BtikMcO_hhP,2Nam78vBrA_BtikMcO_hhP,LVL1_1B_85,N/A,N/A,IfcSpace,IfcSpace
1_4zoklETABBqZ92jqi7TQ,1_4zoklETABBqZ92jqi7TQ,LVL1_1B_93,N/A,N/A,IfcSpace,IfcSpace
3u2vq5Jjv6gRYcpxW73olP,3u2vq5Jjv6gRYcpxW73olP,LVL1_1B_94,N/A,N/A,IfcSpace,IfcSpace
0S6pnmzVX1LBI0Npb5EFDk,0S6pnmzVX1LBI0Npb5EFDk,LVL1_1B_95,N/A,N/A,IfcSpace,IfcSpace
2ZFhIZ4tT9SQCXx65T826E,2ZFhIZ4tT9SQCXx65T826E,LVL1_1B_96,N/A,N/A,IfcSpace,IfcSpace
2qc76OJqz0nB5VxusC0l8C,2qc76OJqz0nB5VxusC0l8C,LVL2_1B_41,N/A,N/A,IfcSpace,IfcSpace
1fFgQo0uL4fObZAIjlJ0RZ,1fFgQo0uL4fObZAIjlJ0RZ,LVL2_1B_42,N/A,N/A,IfcSpace,IfcSpace
3PAf6CJ8r5L9evmJnjX0wl,3PAf6CJ8r5L9evmJnjX0wl,LVL2_1B_43,N/A,N/A,IfcSpace,IfcSpace
0HDgZvg39ByB98qf8xH7LL,0HDgZvg39ByB98qf8xH7LL,LVL2_1B_44,N/A,N/A,IfcSpace,IfcSpace
0EQ4RftdjFf8fqtu2UbqHe,0EQ4RftdjFf8fqtu2UbqHe,LVL2_1B_45,N/A,N/A,IfcSpace,IfcSpace
0bI7mfmknCXvW43KuduzNO,0bI7mfmknCXvW43KuduzNO,LVL2_1B_59,N/A,N/A,IfcSpace,IfcSpace
3sk6$AtFD2CQYrHasxhueS,3sk6$AtFD2CQYrHasxhueS,LVL2_1B_62,N/A,N/A,IfcSpace,IfcSpace
1jpAmbTRbFQQHOZfazMKN9,1jpAmbTRbFQQHOZfazMKN9,LVL2_1B_63,N/A,N/A,IfcSpace,IfcSpace
1C9G79YArFZAFDXdopm$fI,1C9G79YArFZAFDXdopm$fI,LVL0,N/A,N/A,IfcSpace,IfcSpace
0iaS$T1l99Pu_cTKeNiEST,0iaS$T1l99Pu_cTKeNiEST,LVL1_T,N/A,N/A,IfcSpace,IfcSpace
25A0LPzI11KgElM79OBwwk,25A0LPzI11KgElM79OBwwk,LVL2_T,N/A,N/A,IfcSpace,IfcSpace
17Ji0lCwnAfeNnfVoRfQTe,17Ji0lCwnAfeNnfVoRfQTe,LVL3_T,N/A,N/A,IfcSpace,IfcSpace
10dqpIX1rBH9OjivS5C1nk,10dqpIX1rBH9OjivS5C1nk,LVL4_T,N/A,N/A,IfcSpace,IfcSpace
0Z1j6MUev6cBSJOkRVJ_LW,0Z1j6MUev6cBSJOkRVJ_LW,LVL1_2B_58,N/A,N/A,IfcSpace,IfcSpace
3jpUkA$gDCgOX8OQhgBP0E,3jpUkA$gDCgOX8OQhgBP0E,LVL1_2B_59,N/A,N/A,IfcSpace,IfcSpace
2JGhYqf8D4lxP6Mi$8Mczp,2JGhYqf8D4lxP6Mi$8Mczp,LVL1_2B_60,N/A,N/A,IfcSpace,IfcSpace
1e_vbdIbbAMRyW5sMT$wve,1e_vbdIbbAMRyW5sMT$wve,LVL1_2B_61,N/A,N/A,IfcSpace,IfcSpace
3$BHRXPaL9n8LJDHwKRked,3$BHRXPaL9n8LJDHwKRked,LVL1_2B_62,N/A,N/A,IfcSpace,IfcSpace
3TE2lLuG10kx39gbem56gC,3TE2lLuG10kx39gbem56gC,LVL1_2B_64,N/A,N/A,IfcSpace,IfcSpace
07qEd7pK9F78JF2MlwkdR7,07qEd7pK9F78JF2MlwkdR7,LVL1_2B_80,N/A,N/A,IfcSpace,IfcSpace
38Wy$AS1147RUQsTFCNWlO,38Wy$AS1147RUQsTFCNWlO,LVL1_2B_86,N/A,N/A,IfcSpace,IfcSpace
1cX$GM6XrAtRiu5PCogq4A,1cX$GM6XrAtRiu5PCogq4A,LVL1_2B_87,N/A,N/A,IfcSpace,IfcSpace
0aZOLW0mv26QzEPyzKG0ti,0aZOLW0mv26QzEPyzKG0ti,LVL1_2B_88,N/A,N/A,IfcSpace,IfcSpace
0gDAzUin9Cz9DabjqmtE5p,0gDAzUin9Cz9DabjqmtE5p,LVL1_2B_90,N/A,N/A,IfcSpace,IfcSpace
1$a2B7QPD9H9JeUOR1JXva,1$a2B7QPD9H9JeUOR1JXva,LVL1_2B_91,N/A,N/A,IfcSpace,IfcSpace
2kM2h7NLT14wORNgT7NgBD,2kM2h7NLT14wORNgT7NgBD,LVL1_2B_92,N/A,N/A,IfcSpace,IfcSpace
22sP$KXDTCxQiw0tzNVSML,22sP$KXDTCxQiw0tzNVSML,LVL2_2B_39,N/A,N/A,IfcSpace,IfcSpace
1dt0vj0gHDDu6lqz7ssLtZ,1dt0vj0gHDDu6lqz7ssLtZ,LVL2_2B_47,N/A,N/A,IfcSpace,IfcSpace
19Ww4k_crCuA$$xAfDaDVE,19Ww4k_crCuA$$xAfDaDVE,LVL2_2B_48,N/A,N/A,IfcSpace,IfcSpace
3gcDIJevnDiewHIYixHfiK,3gcDIJevnDiewHIYixHfiK,LVL2_2B_49,N/A,N/A,IfcSpace,IfcSpace
2JprGYMt5CY8rqJGflqGGk,2JprGYMt5CY8rqJGflqGGk,LVL2_2B_50,N/A,N/A,IfcSpace,IfcSpace
2Kyc8WVZHEsetmxEM$Toik,2Kyc8WVZHEsetmxEM$Toik,LVL2_2B_51,N/A,N/A,IfcSpace,IfcSpace
1aCZCPS$r00uiSlnjVaa3o,1aCZCPS$r00uiSlnjVaa3o,LVL2_2B_52,N/A,N/A,IfcSpace,IfcSpace
08b3c6ZjHBRQn49e6a2IdC,08b3c6ZjHBRQn49e6a2IdC,LVL2_2B_53,N/A,N/A,IfcSpace,IfcSpace
1v9BJVe4931uTPdVcgxMEo,1v9BJVe4931uTPdVcgxMEo,LVL2_2B_54,N/A,N/A,IfcSpace,IfcSpace
2eDP4uA8H9ghWPuFHc57H_,2eDP4uA8H9ghWPuFHc57H_,LVL2_2B_57,N/A,N/A,IfcSpace,IfcSpace
1fOh2qhcf87fqN2crfXbJ9,1fOh2qhcf87fqN2crfXbJ9,LVL2_2B_58,N/A,N/A,IfcSpace,IfcSpace
1$SNryYxvCHRhpQk$DQuFT,1$SNryYxvCHRhpQk$DQuFT,LVL2_2B_60,N/A,N/A,IfcSpace,IfcSpace
2KVm4ab9b9Xv4GyPAjXOwZ,2KVm4ab9b9Xv4GyPAjXOwZ,LVL2_2B_61,N/A,N/A,IfcSpace,IfcSpace
2TVgdnCXj8T8dD1v59xhaZ,2TVgdnCXj8T8dD1v59xhaZ,LVL1_3B_65,N/A,N/A,IfcSpace,IfcSpace
29NX0zFRX3UwCGL1IQYL1L,29NX0zFRX3UwCGL1IQYL1L,LVL1_3B_66,N/A,N/A,IfcSpace,IfcSpace
3Tf1$BWf92pBrUei96MZx_,3Tf1$BWf92pBrUei96MZx_,LVL1_3B_67,N/A,N/A,IfcSpace,IfcSpace
3r_Y8L_NL9UvlQifw8azSt,3r_Y8L_NL9UvlQifw8azSt,LVL1_3B_68,N/A,N/A,IfcSpace,IfcSpace
2ekRUzbdv2RhFVwA7bts5j,2ekRUzbdv2RhFVwA7bts5j,LVL1_3B_69,N/A,N/A,IfcSpace,IfcSpace
2Y_QGefwP84P3RASn2yhGy,2Y_QGefwP84P3RASn2yhGy,LVL1_3B_70,N/A,N/A,IfcSpace,IfcSpace
1HiJtqmvz8wwEbs5mjWIJm,1HiJtqmvz8wwEbs5mjWIJm,LVL1_3B_71,N/A,N/A,IfcSpace,IfcSpace
2qrfp9rL5DQ8$HeW213_Zo,2qrfp9rL5DQ8$HeW213_Zo,LVL1_3B_72,N/A,N/A,IfcSpace,IfcSpace
0Ipsh1JxL4qRHWT5Z9DxfC,0Ipsh1JxL4qRHWT5Z9DxfC,LVL1_3B_73,N/A,N/A,IfcSpace,IfcSpace
14hbawTBf629LPQFPVQTy6,14hbawTBf629LPQFPVQTy6,LVL1_3B_75,N/A,N/A,IfcSpace,IfcSpace
397i9C5fr6FRvzexl$7rhh,397i9C5fr6FRvzexl$7rhh,LVL1_3B_76,N/A,N/A,IfcSpace,IfcSpace
1HcsNDV6TBgQmkNZSpFDGJ,1HcsNDV6TBgQmkNZSpFDGJ,LVL1_3B_77,N/A,N/A,IfcSpace,IfcSpace
2uaH3v9fn1uRckqH7u4B24,2uaH3v9fn1uRckqH7u4B24,LVL1_3B_78,N/A,N/A,IfcSpace,IfcSpace
1VcTML$vX5eORXBY9o$MP2,1VcTML$vX5eORXBY9o$MP2,LVL1_3B_79,N/A,N/A,IfcSpace,IfcSpace
2ovGgUcaj8nxTnHq80GeS$,2ovGgUcaj8nxTnHq80GeS$,LVL1_3B_81,N/A,N/A,IfcSpace,IfcSpace
2TwdvnvXX23vtgNXFTbcaI,2TwdvnvXX23vtgNXFTbcaI,LVL1_3B_83,N/A,N/A,IfcSpace,IfcSpace
1tJN3soPn8PxzHsTxy_9Ri,1tJN3soPn8PxzHsTxy_9Ri,LVL1_3B_84,N/A,N/A,IfcSpace,IfcSpace
0DUhhjLub4suZrRA_myoXY,0DUhhjLub4suZrRA_myoXY,LVL1_3B_89,N/A,N/A,IfcSpace,IfcSpace
1MCvbHAOD2ev9TCEfjiZ7b,1MCvbHAOD2ev9TCEfjiZ7b,LVL2_3B_40,N/A,N/A,IfcSpace,IfcSpace
