,GlobalId,Name,Description,ObjectType,IfcType,category
3q7Twobe9ENvh43NYJYCkZ,3q7Twobe9ENvh43NYJYCkZ,LEVEL_1,N/A,N/A,IfcSpace,IfcSpace
33GCg72APAegkpE39K6OCT,33GCg72APAegkpE39K6OCT,slab,N/A,N/A,IfcSlab,IfcSlab
15ttRC7BL7Ngs5NHJr5Ynb,15ttRC7BL7Ngs5NHJr5Ynb,wall_1,N/A,N/A,IfcWall,IfcWall
3jHerqfRDEbB68GwT$MLmP,3jHerqfRDEbB68GwT$MLmP,wall_1,N/A,N/A,IfcWall,IfcWall
2G21b5UMHFNB45OoEIXvNO,2G21b5UMHFNB45OoEIXvNO,wall_1,N/A,N/A,IfcWall,IfcWall
1LfjqzwfXEHh5CANx8rM4X,1LfjqzwfXEHh5CANx8rM4X,wall_1,N/A,N/A,IfcWall,IfcWall
04snYQkcbEGfjItRCcaWig,04snYQkcbEGfjItRCcaWig,wall_1,N/A,N/A,IfcWall,IfcWall
24EAjVia58eBxT8G8zKI9s,24EAjVia58eBxT8G8zKI9s,wall_1,N/A,N/A,IfcWall,IfcWall
0_$8hcBNr8OhV23ievP0wA,0_$8hcBNr8OhV23ievP0wA,wall_1,N/A,N/A,IfcWall,IfcWall
00aB8euCbDg81JtJMGNNA_,00aB8euCbDg81JtJMGNNA_,wall_1,N/A,N/A,IfcWall,IfcWall
3B_ML7UFLBuwqdA5kOJ8Ed,3B_ML7UFLBuwqdA5kOJ8Ed,wall_1,N/A,N/A,IfcWall,IfcWall
15pNyDx8bDVOMdEq_VJEZu,15pNyDx8bDVOMdEq_VJEZu,wall_1,N/A,N/A,IfcWall,IfcWall
3O4BSWjPDCYeBvy758Zgku,3O4BSWjPDCYeBvy758Zgku,wall_1,N/A,N/A,IfcWall,IfcWall
0qYIMIVsD25vvwv_71Oj4a,0qYIMIVsD25vvwv_71Oj4a,wall_1,N/A,N/A,IfcWall,IfcWall
19gvT7BIz4je6RwCWKdkpV,19gvT7BIz4je6RwCWKdkpV,wall_1,N/A,N/A,IfcWall,IfcWall
1hwjNFfG590hKjpC3ULvBZ,1hwjNFfG590hKjpC3ULvBZ,wall_1,N/A,N/A,IfcWall,IfcWall
3ZH_BlG559BvSGnllHkZ1r,3ZH_BlG559BvSGnllHkZ1r,wall_1,N/A,N/A,IfcWall,IfcWall
1B5GW8bDfBR88IZtJ4l7rM,1B5GW8bDfBR88IZtJ4l7rM,wall_1,N/A,N/A,IfcWall,IfcWall
1JF_u8IxbARR3hSfVOgX$C,1JF_u8IxbARR3hSfVOgX$C,wall_1,N/A,N/A,IfcWall,IfcWall
2YPbDz0WD0oxofUUDsKkts,2YPbDz0WD0oxofUUDsKkts,wall_1,N/A,N/A,IfcWall,IfcWall
3bX50btATAou_MUYM4z34n,3bX50btATAou_MUYM4z34n,wall_1,N/A,N/A,IfcWall,IfcWall
1edf6Vb2P5GOyqGF13DXEn,1edf6Vb2P5GOyqGF13DXEn,wall_1,N/A,N/A,IfcWall,IfcWall
24NptVKQz2d9RijWMt_Tzg,24NptVKQz2d9RijWMt_Tzg,wall_1,N/A,N/A,IfcWall,IfcWall
3ZUM$pUFr0iuRbE09VLT4x,3ZUM$pUFr0iuRbE09VLT4x,wall_1,N/A,N/A,IfcWall,IfcWall
0iAxOR9jT9Ix4CuHLlC6UA,0iAxOR9jT9Ix4CuHLlC6UA,wall_1,N/A,N/A,IfcWall,IfcWall
137_gUaLPB6OGv1ftxP$N6,137_gUaLPB6OGv1ftxP$N6,wall_1,N/A,N/A,IfcWall,IfcWall
2ZaSsznfrElwB5aAESSDoz,2ZaSsznfrElwB5aAESSDoz,wall_1,N/A,N/A,IfcWall,IfcWall
3YXhOHb5f4Eu$2Kob3lYjh,3YXhOHb5f4Eu$2Kob3lYjh,wall_1,N/A,N/A,IfcWall,IfcWall
23x1vCYWPC1Pnv7k_zxwYx,23x1vCYWPC1Pnv7k_zxwYx,window_1,N/A,N/A,IfcWindow,IfcWindow
03evn2mrrB1edb4jEbE61m,03evn2mrrB1edb4jEbE61m,window_1,N/A,N/A,IfcWindow,IfcWindow
1GW3W0N9L6_Qg_7Iw0TTAZ,1GW3W0N9L6_Qg_7Iw0TTAZ,window_1,N/A,N/A,IfcWindow,IfcWindow
2S$xe5ad54xQKuBm5cRPKq,2S$xe5ad54xQKuBm5cRPKq,window_1,N/A,N/A,IfcWindow,IfcWindow
1FZTcNrtf5LRl6e7EVXelg,1FZTcNrtf5LRl6e7EVXelg,window_1,N/A,N/A,IfcWindow,IfcWindow
3xsTAnL_rDNglIhOSxZ_5r,3xsTAnL_rDNglIhOSxZ_5r,window_1,N/A,N/A,IfcWindow,IfcWindow
2NdMjLqqvD7v3MH9EPruqJ,2NdMjLqqvD7v3MH9EPruqJ,window_1,N/A,N/A,IfcWindow,IfcWindow
3qjUa4XRn3ixgeKRIomOnW,3qjUa4XRn3ixgeKRIomOnW,N/A,N/A,N/A,IfcDoor,IfcDoor
2zrN0YFkv6N8YWaAf45CZl,2zrN0YFkv6N8YWaAf45CZl,N/A,N/A,N/A,IfcDoor,IfcDoor
19OJ5fjWD2wxQC8RymYb7z,19OJ5fjWD2wxQC8RymYb7z,N/A,N/A,N/A,IfcDoor,IfcDoor
0oEMWIyxjCeAkkIBzSoB6K,0oEMWIyxjCeAkkIBzSoB6K,N/A,N/A,N/A,IfcDoor,IfcDoor
2tEguBNoTC7f121Fpu7QWl,2tEguBNoTC7f121Fpu7QWl,N/A,N/A,N/A,IfcDoor,IfcDoor
3vDx2qvjz9$hgHLtsb$oI5,3vDx2qvjz9$hgHLtsb$oI5,N/A,N/A,N/A,IfcDoor,IfcDoor
3zaDEyYpr0vxGR5WWEE5O0,3zaDEyYpr0vxGR5WWEE5O0,N/A,N/A,N/A,IfcDoor,IfcDoor
07Yp1ohUX7wesC0y4Q_cvr,07Yp1ohUX7wesC0y4Q_cvr,N/A,N/A,N/A,IfcDoor,IfcDoor
0EuooOE7bA1x4VmKnYSR4u,0EuooOE7bA1x4VmKnYSR4u,N/A,N/A,N/A,IfcDoor,IfcDoor
